hour,day_of_week,month,is_peak_hour,is_weekend,road_type,weather,traffic_density,speed,speed_limit,vehicle_type,vehicles_involved,vehicle_age,road_condition,road_width,alcohol_involved,driver_distracted,pedestrians_involved,visibility,temperature,humidity,junction_type,severity
11,Saturday,3,0,1,Urban Road,Rainy,3,83,40,Motorcycle,3,3,Wet,12,0,0,0,5,22,62,No Junction,High
22,Tuesday,5,0,0,Highway,Clear,5,28,80,Car,4,0,Dry,7,0,1,0,5,15,20,Y-Junction,High
18,Tuesday,8,1,0,Highway,Cloudy,5,10,80,Car,2,5,Slippery,9,0,0,0,7,25,88,No Junction,Medium
16,Wednesday,8,0,0,Residential,Rainy,1,38,40,Car,2,4,Dry,9,0,0,0,9,20,83,Y-Junction,Low
7,Friday,3,1,0,State Highway,Clear,5,10,60,Car,1,4,Good,4,0,1,2,7,19,45,T-Junction,High
7,Monday,8,1,0,Residential,Clear,5,21,40,Motorcycle,1,0,Dry,9,0,0,0,5,25,61,Intersection,Medium
5,Tuesday,11,0,0,Residential,Rainy,4,40,40,Truck,3,8,Dry,3,0,1,0,8,26,77,Intersection,Medium
20,Monday,8,1,0,Highway,Foggy,8,56,80,Truck,1,2,Good,10,0,0,1,4,28,86,Intersection,High
16,Sunday,3,0,1,Residential,Clear,4,41,40,Motorcycle,2,6,Dry,9,0,1,1,5,30,52,Y-Junction,High
18,Thursday,10,1,0,Highway,Heavy Rain,8,10,80,Auto,1,9,Dry,3,0,0,0,3,20,85,Intersection,High
2,Thursday,10,0,0,Highway,Rainy,2,35,80,Auto,1,3,Under Construction,5,0,0,0,5,19,60,T-Junction,Low
22,Friday,2,0,0,State Highway,Heavy Rain,3,34,60,Car,2,12,Dry,3,1,1,1,4,32,73,Intersection,High
19,Tuesday,10,1,0,State Highway,Heavy Rain,7,37,60,Truck,2,2,Dry,4,0,0,1,3,26,71,Intersection,High
8,Sunday,2,1,1,Residential,Rainy,9,34,40,Car,2,15,Dry,8,0,1,0,8,39,28,No Junction,Medium
8,Wednesday,9,1,0,State Highway,Rainy,10,10,60,Motorcycle,1,2,Under Construction,13,0,0,0,5,15,50,Y-Junction,Medium
8,Tuesday,7,1,0,National Highway,Clear,5,25,80,Motorcycle,2,4,Dry,9,1,0,1,6,30,40,T-Junction,High
9,Monday,6,1,0,Highway,Cloudy,4,11,80,Motorcycle,1,8,Slippery,6,0,0,0,5,23,48,No Junction,Medium
15,Saturday,7,0,1,National Highway,Cloudy,1,36,80,Motorcycle,2,4,Dry,10,0,0,0,6,23,71,T-Junction,Medium
12,Thursday,8,0,0,Residential,Rainy,3,51,40,Car,1,8,Dry,9,1,0,0,6,24,49,Roundabout,Medium
9,Monday,12,1,0,State Highway,Clear,9,21,60,Motorcycle,4,4,Dry,12,0,0,0,9,36,71,Roundabout,High
17,Friday,1,1,0,Residential,Cloudy,8,10,40,Car,1,6,Good,10,0,0,1,9,17,42,Roundabout,Low
7,Thursday,8,1,0,Residential,Clear,2,69,40,Car,2,5,Wet,8,0,0,0,6,17,58,No Junction,Medium
9,Wednesday,3,1,0,Residential,Rainy,3,43,40,Truck,3,9,Dry,3,0,1,0,7,31,94,Roundabout,High
11,Thursday,3,0,0,Urban Road,Clear,6,53,40,Auto,4,0,Dry,12,0,1,0,5,38,48,Y-Junction,Medium
13,Saturday,6,0,1,National Highway,Cloudy,8,25,80,Motorcycle,1,5,Wet,7,1,0,0,9,23,80,T-Junction,High
19,Sunday,4,1,1,Highway,Foggy,8,18,80,Bus,2,6,Wet,5,0,0,0,2,34,35,Roundabout,High
8,Tuesday,4,1,0,Urban Road,Clear,5,37,40,Motorcycle,3,9,Dry,3,0,0,3,7,33,81,No Junction,High
14,Saturday,4,0,1,Highway,Clear,2,47,80,Auto,2,0,Dry,4,1,0,0,6,29,47,No Junction,Medium
16,Sunday,10,0,1,Urban Road,Clear,4,51,40,Auto,4,9,Slippery,9,0,1,3,8,29,50,Roundabout,High
4,Saturday,9,0,1,Urban Road,Rainy,5,52,40,Bus,2,6,Wet,6,0,1,0,6,25,85,No Junction,High
16,Tuesday,8,0,0,Highway,Clear,6,10,80,Auto,3,1,Dry,10,0,0,2,8,33,20,Intersection,Medium
7,Thursday,3,1,0,Urban Road,Clear,3,32,40,Car,1,8,Dry,12,0,0,0,9,31,61,Intersection,Low
5,Friday,1,0,0,Urban Road,Cloudy,5,16,40,Car,5,4,Wet,3,0,0,0,9,24,83,T-Junction,Medium
22,Tuesday,1,0,0,Highway,Clear,5,15,80,Motorcycle,2,14,Dry,4,0,0,0,6,18,28,T-Junction,Medium
22,Tuesday,1,0,0,Urban Road,Rainy,6,49,40,Bus,3,5,Dry,8,0,0,1,9,23,61,Y-Junction,Medium
19,Sunday,4,1,1,National Highway,Clear,5,33,80,Car,2,11,Slippery,12,0,0,3,6,21,40,No Junction,High
9,Wednesday,6,1,0,Highway,Clear,10,29,80,Car,2,12,Wet,5,0,1,0,6,27,51,Roundabout,High
6,Thursday,4,0,0,Urban Road,Rainy,5,35,40,Car,1,2,Wet,8,0,0,1,8,30,67,Y-Junction,Medium
17,Tuesday,11,1,0,Highway,Rainy,4,27,80,Auto,5,7,Wet,4,0,1,0,5,30,74,Y-Junction,High
13,Friday,11,0,0,Highway,Clear,4,49,80,Truck,4,13,Slippery,7,0,0,0,6,30,74,Roundabout,High
7,Monday,3,1,0,Residential,Clear,6,38,40,Truck,1,13,Dry,8,0,0,1,5,29,88,T-Junction,High
14,Thursday,8,0,0,Urban Road,Clear,1,31,40,Car,1,3,Dry,7,0,1,1,7,27,60,No Junction,Low
3,Wednesday,8,0,0,Urban Road,Clear,2,51,40,Motorcycle,2,10,Dry,12,1,0,0,9,27,52,No Junction,Medium
21,Saturday,6,0,1,Highway,Clear,6,24,80,Car,1,6,Good,11,0,0,2,7,35,73,Intersection,Medium
8,Tuesday,9,1,0,Residential,Clear,6,14,40,Car,2,2,Wet,7,0,0,0,7,25,86,No Junction,Medium
17,Friday,12,1,0,State Highway,Rainy,10,25,60,Bus,1,2,Dry,7,0,0,0,6,26,50,Intersection,Low
10,Thursday,10,1,0,Highway,Clear,6,26,80,Truck,2,10,Dry,10,0,0,0,7,15,70,Roundabout,Medium
15,Friday,1,0,0,Highway,Rainy,6,32,80,Motorcycle,1,11,Slippery,8,0,0,0,6,24,73,No Junction,Medium
15,Friday,8,0,0,Highway,Rainy,7,10,80,Bus,1,12,Dry,8,0,1,2,9,26,65,No Junction,Medium
8,Sunday,6,1,1,Residential,Clear,7,11,40,Motorcycle,2,6,Slippery,5,0,0,3,9,35,72,Roundabout,High
22,Saturday,1,0,1,Highway,Rainy,3,51,80,Car,2,5,Good,9,1,0,2,7,19,78,No Junction,High
19,Wednesday,4,1,0,Urban Road,Rainy,9,29,40,Bus,2,7,Dry,6,0,0,2,6,27,69,Intersection,High
22,Thursday,5,0,0,Highway,Clear,3,38,80,Car,2,0,Dry,6,0,0,0,8,27,64,Y-Junction,Low
21,Tuesday,7,0,0,Highway,Clear,5,29,80,Auto,2,6,Dry,8,0,0,0,8,31,62,Y-Junction,Medium
16,Wednesday,8,0,0,Highway,Rainy,8,10,80,Truck,1,12,Dry,8,0,0,0,5,25,85,Intersection,Medium
21,Tuesday,9,0,0,Urban Road,Rainy,6,20,40,Motorcycle,5,6,Wet,8,0,0,1,5,31,72,Intersection,High
6,Monday,12,0,0,Highway,Cloudy,4,35,80,Car,1,10,Dry,3,0,1,3,5,29,87,Roundabout,High
8,Friday,12,1,0,Urban Road,Foggy,5,28,40,Motorcycle,2,8,Wet,8,0,0,1,4,23,67,T-Junction,High
4,Monday,6,0,0,Residential,Cloudy,7,42,40,Motorcycle,2,0,Wet,3,1,1,1,6,21,77,Intersection,High
10,Sunday,10,1,1,Urban Road,Clear,9,29,40,Auto,2,8,Good,11,0,0,3,5,40,76,No Junction,High
11,Friday,9,0,0,Residential,Clear,3,10,40,Car,2,8,Wet,6,0,0,3,6,24,53,No Junction,Medium
9,Saturday,4,1,1,Residential,Clear,6,23,40,Motorcycle,1,7,Dry,8,0,0,0,7,17,20,Intersection,Low
